LOC;lat;lon;Filename
Pueblo Rico, Risaralda;5.221976;-76.03042330000001;21
Puerto Arica, Amazonas;-2.1495;-71.7546;2
Puerto Asís, Putumayo;0.4985097;-76.4977428;10
Puerto Berrío, Antioquia;6.4895388;-74.4047587;21
Puerto Berrío, Quindío;6.4895388;-74.4047587;6
Puerto Boyacá, Boyacá;5.975676699999999;-74.5922391;3
Puerto Caicedo, Putumayo;0.6842064;-76.60416169999999;3
Puerto Caidedo, Putumayo;0.6842064;-76.60416169999999;3
Puerto Carreño, Vichada;6.1899117;-67.48256959999999;11
Puerto Colombia, Atlántico;11.001004;-74.950761;40
Puerto Colombia, Guainía;2.72032;-67.56446;1
Puerto Concordia, Meta;2.6227918;-72.7598422;66
Puerto Gaitán, Meta;4.3123762;-72.0826822;27
Puerto Guzmán, Putumayo;0.9637699999999999;-76.40798099999999;18
Puerto Leguízamo, Putumayo;-0.185957;-74.78366;8
Puerto Libertador, Córdoba;7.8877104;-75.67099759999999;80
Puerto Lleras, Meta;3.272414;-73.369542;60
Puerto López, Meta;4.091354;-72.955918;27
Puerto Nare, Antioquia;6.186497;-74.583726;21
Puerto Rico, Caquetá;1.909918;-75.157235;23
Puerto Rico, Meta;2.941214;-73.20746799999999;60
Puerto Rondón, Arauca;6.281167;-71.1047959;17
Puerto Santander, Amazonas;-0.6218736;-72.3825557;7
Puerto Santander, Norte de Santander;8.361323;-72.408389;16
Puerto Santander, Santander;8.361323;-72.408389;6
Páez, Huila;2.5359349;-75.52766989999999;3
Quibdó, Chocó;5.695633;-76.649812;14
Quibdó, Quindío;5.695633;-76.649812;150
Quimbaya, Quindío;4.625907;-75.761865;14
Quinchía, Risaralda;5.341119099999999;-75.73047559999999;48
Qunidío, Quindío;4.4610191;-75.667356;5
Remedios, Antioquia;7.0281273;-74.69360689999999;5
Remedios, Quindío;4.4610191;-75.667356;10
Ricaurte, Cundinamarca, Tolima;4.277309;-74.77230500000002;2
Ricaurte, Nariño;1.1483351;-78.0651931;2
Ricaurte, Tolima;4.277309;-74.77230500000002;4
Rio Quito, Chocó;5.5380856;-76.7798172;12
Rioblanco, Tolima;3.530079;-75.643671;5
Riohacha, La Guajira;11.5384151;-72.91678379999999;34
Riosucio, Caldas;5.420683899999999;-75.705388;8
Riosucio, Chocó;7.437558799999999;-77.11333479999999;51
Rioviejo, Bolívar;8.588396999999999;-73.84025799999999;1
Risaralda, Risaralda;5.315847499999999;-75.9927652;36
Roberto Payán, Nariño;1.718516;-78.25312;25
Roldanillo, Valle del Cauca;4.415473599999999;-76.1513942;4
Río Quito, Chocó;5.5380856;-76.7798172;7
Río Viejo, Bolívar;8.588396999999999;-73.84025799999999;9
Ríoblanco, Tolima;3.530079;-75.643671;10
Sabanalarga, Antioquia;6.8543086;-75.8133342;4
Sabanas de San Angel, Magdalena;10.0297699;-74.21531;1
Sabanas, Magdalena;10.3792953;-74.7056095;7
Salento, Quindío;4.637365;-75.5703107;9
Salgar, Antioquia;5.963336;-75.963942;4
Samaniego, Nariño;1.332614;-77.58615499999999;12
Samaná, Caldas;5.413047;-74.99146390000001;3
San Alberto, Cesar;7.7636684;-73.3932117;3
San Andrés de Cuerquía, Quindío;6.913245;-75.67555999999999;13
San Antero, Córdoba;9.374642;-75.758517;20
San Benito Abad, Sucre;8.93159;-75.0308214;6
San Benito, Sucre;8.93159;-75.0308214;6
San Bernardo del Viento, Córdoba;9.3525858;-75.9535815;20
San Bernardo, Cundinamarca;4.179444;-74.421566;1
San Calixto, Norte de Santander;8.4015989;-73.2089979;15
San Carlos, Córdoba;8.7946422;-75.6995195;3
San Felipe, Guainía;1.9169897;-67.0762467;1
San Francisco, Quindío;4.5369;-75.67177;1
San Jacinto del Cauca, Cauca;8.2314212;-74.7337069;16
San Jacinto, Bolívar;9.8297142;-75.12294899999999;9
San José de Uré, Córdoba;7.787317900000001;-75.53590609999999;19
San José del Fragua, Caquetá;1.3315742;-75.9733147;11
San José del Fragua, Putumayo;1.3315742;-75.9733147;13
San José del Guaviare, Guaviare;2.5677606;-72.6396535;32
San José del Guaviare, Meta;2.5677606;-72.6396535;46
San José del Guavire, Meta;2.5677606;-72.6396535;11
San José del Palmar, Chocó;4.97262;-76.22922;29
San José, Caquetá;1.36056;-75.94908099999999;2
San José, Chocó;4.222589999999999;-77.09631999999999;11
San José, Meta;3.986680375727126;-73.77348313869281;16
San Juan Nepomuceno, Bolívar;9.951139999999999;-75.083828;4
San Marcos, Sucre;8.663761;-75.13268289999999;6
San Martín, Meta;3.698492;-73.697308;4
San Martín, Cesar;7.929618;-73.5122928;3
San Martín, Meta;3.698492;-73.697308;46
San Miguel, Putumayo;0.33002;-76.87635999999999;42
San Onofre, Sucre;9.74084;-75.519872;27
San Pablo, Bolívar;7.477887;-73.92410799999999;23
San Sebastián, Magdalena;9.2389289;-74.3500155;18
San Vicente del Caguán, Caquetá;2.1136446;-74.7732056;19
San Vicente del Caguán, Meta;2.1136446;-74.7732056;3
Santa Bárbara de Iscuande, Nariño;2.4505212;-77.98026930000002;1
Santa Bárbara, Nariño;2.4505212;-77.98026930000002;34
Santa Isabel, Tolima;4.713973999999999;-75.0972892;1
Santa Marta, Magdalena;11.2403547;-74.2110227;31
Santa Rosa de Osos, Risaralda;5.315847499999999;-75.9927652;6
Santa Rosa del Sur, Bolívar;7.9630638;-74.05097479999999;15
Santa Rosa, Bolívar;10.445791;-75.368501;14
Santa Rosa, Risaralda;4.870121;-75.62239;6
Santa Rosalía, Vichada;5.135381;-70.86496090000001;9
Santacruz, Nariño;1.51723;-77.25113999999999;12
Santander de Quilichao, Cauca;3.0090132;-76.48630469999999;22
Santiago de Tolú, Sucre;9.527477000000001;-75.5812215;10
Sarave, Arauca;6.956106999999999;-71.87259499999999;6
Saravena, Arauca;6.956106999999999;-71.87259499999999;48
Sardinata, Norte de Santander;8.085092;-72.799937;4
Segovia, Antioquia;7.079743499999999;-74.7004374;5
Segovia, Quindío;4.4610191;-75.667356;10
Sevilla, Valle del Cauca;4.2743779;-75.931004;2
Sibaté, Cundinamarca;4.491196;-74.2593771;18
Silvania, Cundinamarca;4.3867287;-74.3994432;20
Silvia, Cauca;2.611615;-76.37754;17
Simití, Bolívar;7.957151;-73.946404;22
Sincelejo, Sucre;9.3045773;-75.39055669999999;10
Sipí, Chocó;4.65306;-76.64417;32
Soacha, Cundinamarca;4.5827227;-74.21174649999999;235
Socha, Boyacá;5.997129999999999;-72.692665;11
Socotá, Boyacá;6.041520999999999;-72.636498;11
Solano, Caquetá;0.699152;-75.25355499999999;13
Soledad, Atlántico;10.9215472;-74.7688173;40
Solita, Putumayo;0.4359506;-75.52766989999999;13
Sucre, Sucre;8.916538147248733;-74.72682304315609;13
Sumapaz, Tolima;4.112506545093167;-74.5813021227584;13
Supía, Caldas;5.45589;-75.65040100000002;7
Suárez, Cauca;2.9532079;-76.6937039;2
Sácama, Casanare;6.098996;-72.248193;19
Sácama, Nariño;6.098996;-72.248193;10
Tadó, Chocó;5.2649419;-76.55943300000001;10
Tadó, Córdoba;5.2649419;-76.55943300000001;5
Tadó, Risaralda;5.315847499999999;-75.9927652;3
Tamalameque, Cesar;8.861748;-73.810756;3
Tamalameque, Magdalena;10.33333;-74.54198;18
Tame, Arauca;6.4586679;-71.73477369999999;59
Taraira, Vaupés;-0.5644218999999999;-69.63385339999999;13
Tarazá, Antioquia;7.583190999999999;-75.39996599999999;2
Tarazá, Cauca;7.583190999999999;-75.39996599999999;10
